forecast_date,target,actual,abs_err_uv_HLSTM_GRU,abs_err_uv_GRU,abs_err_uv_ANN,abs_err_mv_HLSTM_GRU,abs_err_mv_GRU,abs_err_mv_ANN,abs_err_ensemble_uv,abs_err_ensemble_mv,abs_err_ensemble_all
2026-06-15,PRmsl,100550.0,7.77390000000014,26.33969999999681,27.41229999999632,19.18180000000575,7.57390000000305,24.548099999999977,2.233800000001793,17.101299999994808,7.433799999998882
2026-06-15,RH2m,60.0,6.524500000000003,2.624699999999997,4.1795999999999935,1.7627000000000024,3.0730999999999966,6.758899999999997,4.442999999999998,3.864899999999999,4.153899999999993
2026-06-15,TMP2m,31.9,0.8096000000000032,0.6746999999999979,1.0198999999999998,1.2457999999999991,0.5086999999999975,0.4164999999999992,0.2949999999999981,0.7236999999999973,0.5092999999999996
2026-06-16,PRmsl,100560.0,24.1195000000007,58.01829999999609,52.63330000000133,6.194199999998091,15.941800000000512,34.829899999997,44.92369999999937,18.98859999999695,31.956200000000536
2026-06-16,RH2m,59.0,6.636200000000002,2.812100000000001,2.9039,2.4268,2.9973000000000027,4.234200000000001,4.117400000000004,3.2194999999999965,3.6683999999999983
2026-06-16,TMP2m,32.8,0.3451000000000022,1.2951999999999977,1.515499999999996,1.895099999999996,1.0509999999999984,1.0165999999999968,0.8217999999999961,1.3208999999999982,1.071399999999997
2026-06-17,PRmsl,100600.0,50.74529999999504,84.84619999999995,72.62149999999383,19.796400000006543,38.17720000000554,50.36440000000584,69.40439999999944,36.11269999999786,52.75849999999628
2026-06-17,RH2m,65.0,0.448999999999998,3.136499999999998,3.354700000000001,3.292499999999997,2.6631,2.6244000000000014,2.014099999999999,2.8599999999999994,2.4369999999999976
2026-06-17,TMP2m,32.6,0.969699999999996,0.5838999999999999,0.8811,1.3476,0.4950000000000045,0.6993000000000009,0.1651000000000024,0.8473000000000006,0.5061999999999998
2026-06-18,PRmsl,100660.0,93.77090000000317,126.44319999999423,88.68700000000536,69.46850000000268,72.08329999999842,92.62260000000242,102.9670000000042,78.05819999999949,90.51260000000184
2026-06-18,RH2m,70.0,2.4298,1.8252999999999984,0.9410000000000024,3.013800000000004,0.8716000000000008,1.8326,0.1122000000000014,1.906000000000006,1.0091000000000037
2026-06-18,TMP2m,31.0,2.2982000000000014,0.7176000000000009,0.5881000000000007,0.2300000000000004,1.0902999999999992,0.9257999999999988,1.2013000000000034,0.7486999999999995,0.9750000000000014
2026-06-19,PRmsl,100690.0,85.74370000000636,113.77159999999276,78.41099999999278,75.11139999999432,58.0228999999963,110.42630000000644,92.6420999999973,81.18679999999586,86.91449999999895
2026-06-19,RH2m,74.0,0.9937999999999932,2.3920999999999992,0.2937000000000012,4.610699999999994,1.857699999999994,2.0777999999999963,0.563999999999993,2.848699999999994,1.706400000000002
2026-06-19,TMP2m,30.4,1.683399999999999,0.097100000000001,0.4582000000000015,0.066200000000002,0.8388000000000027,0.8298000000000023,0.7462000000000018,0.5783000000000023,0.6623000000000019
2026-06-20,PRmsl,100750.0,122.85929999999644,156.87570000000414,121.45769999999902,139.9413999999961,110.15670000000682,140.86740000000282,133.73089999999502,130.32180000000517,132.02640000000247
2026-06-20,RH2m,75.0,2.8045000000000044,0.689700000000002,0.899799999999999,2.822800000000001,0.3790000000000049,0.303299999999993,1.004800000000003,0.9157000000000012,0.0446000000000026
2026-06-20,TMP2m,29.9,1.534200000000002,0.1477000000000004,0.3811,0.3484000000000016,0.8813000000000031,0.2515,0.6877000000000031,0.4937000000000004,0.5907000000000018
2026-06-21,PRmsl,100760.0,64.972299999994,105.06149999999616,84.0795000000071,79.03830000000016,60.186799999995856,97.23369999999704,84.70440000000235,78.81960000000254,81.76200000000244
2026-06-21,RH2m,77.0,0.4720999999999975,2.6336000000000013,2.329099999999997,3.909099999999995,0.8620999999999981,0.9825000000000016,1.4968999999999966,1.917900000000003,1.707400000000007
2026-06-21,TMP2m,29.9,1.2432000000000016,0.0939999999999976,0.1390999999999991,0.1687000000000011,0.4465000000000003,0.476899999999997,0.3367000000000004,0.0461000000000026,0.1914000000000015
2026-06-22,PRmsl,100740.0,71.49300000000221,93.1076999999932,74.66640000000189,50.61149999999907,59.54219999999623,75.3972999999969,79.75569999999425,61.85039999999572,70.80299999999988
2026-06-22,RH2m,75.0,3.7202000000000055,1.124899999999997,0.7172000000000054,0.6356999999999999,2.4335999999999984,1.593500000000006,1.8541000000000023,1.1304999999999978,1.4923000000000002
2026-06-22,TMP2m,30.1,1.2448999999999977,0.1896000000000022,0.2387000000000014,0.3726999999999982,0.459699999999998,0.1940000000000026,0.272199999999998,0.2127999999999978,0.2424999999999997
2026-06-23,PRmsl,100640.0,23.46199999999953,2.0498999999981606,24.507299999997485,28.93129999999656,38.06269999999495,7.952199999999721,16.673099999999977,24.982099999993807,20.827600000004168
2026-06-23,RH2m,71.0,5.264099999999999,3.3345999999999947,2.8418999999999954,2.252799999999993,4.846500000000006,4.616500000000002,3.8135000000000048,3.905299999999997,3.8593999999999937
2026-06-23,TMP2m,30.4,1.1878000000000029,0.3776999999999972,0.3572999999999986,0.3200000000000003,0.2724000000000011,0.1555999999999997,0.1509,0.1456000000000017,0.1483000000000025
2026-06-24,PRmsl,100610.0,24.266099999993457,58.74659999999858,21.07140000000072,20.13869999999588,27.134399999995367,38.65579999999318,34.694699999992736,28.64299999999639,31.66890000000421
2026-06-24,RH2m,64.0,8.6918,7.1200000000000045,6.5381,6.609800000000007,8.343500000000006,8.995599999999996,7.449899999999999,7.983000000000004,7.716499999999996
2026-06-24,TMP2m,30.8,0.8622999999999976,0.7233000000000018,0.5302000000000007,0.2654999999999994,0.1907999999999994,0.1431000000000004,0.1304000000000016,0.1043999999999982,0.0130000000000016
2026-06-25,PRmsl,100580.0,7.316800000000512,21.17339999999968,13.788899999999558,94.69550000000164,145.58779999999388,61.5341000000044,9.215200000006009,100.60580000000482,45.69530000000668
2026-06-25,RH2m,59.0,6.2804,5.1858,4.168900000000001,7.457499999999996,7.543000000000006,9.640699999999995,5.211699999999993,8.213700000000003,6.712699999999998
