city,run_timestamp,forecast_date,adjustment_applied,target,unit,uv_HLSTM_GRU,uv_GRU,uv_ANN,mv_HLSTM_GRU,mv_GRU,mv_ANN,ensemble_uv,ensemble_mv,ensemble_all
Chennai,2026-06-28T06:23:31.259383,2026-06-28,True,RH2m,%,64.133,63.8013,62.4186,66.3707,66.6616,66.2831,63.451,66.4385,64.9447
Chennai,2026-06-28T06:23:31.259383,2026-06-28,True,TMP2m,C,31.6502,31.0897,31.5595,31.8752,31.6607,31.651,31.4331,31.729,31.5811
Chennai,2026-06-29T06:23:03.456836,2026-06-29,True,PRmsl,Pa,100534.9677,100474.8527,100498.4457,100653.9086,100591.8729,100577.2997,100502.7554,100607.6937,100555.2246
Chennai,2026-06-29T06:23:03.456836,2026-06-29,True,RH2m,%,79.105,75.9729,79.6867,80.5133,77.7383,75.9623,78.2549,78.0713,78.1631
Chennai,2026-06-29T06:23:03.456836,2026-06-29,True,TMP2m,C,30.0129,29.5717,29.3833,30.2964,30.295,29.7262,29.656,30.1059,29.8809
Chennai,2026-06-30T06:21:16.889260,2026-06-30,True,PRmsl,Pa,100520.7538,100443.7089,100454.1814,100645.5265,100601.2437,100540.4985,100472.8813,100595.7562,100534.3188
Chennai,2026-06-30T06:21:16.889260,2026-06-30,True,RH2m,%,72.1875,72.4069,73.0098,74.1843,71.6767,72.6516,72.5347,72.8375,72.6861
Chennai,2026-06-30T06:21:16.889260,2026-06-30,True,TMP2m,C,30.2495,30.2628,30.2525,30.9315,30.6979,30.339,30.2549,30.6561,30.4555
Chennai,2026-07-01T06:29:51.391414,2026-07-01,True,PRmsl,Pa,100526.6334,100530.0886,100520.7035,100655.3738,100574.6743,100517.6108,100525.8085,100582.553,100554.1807
Chennai,2026-07-01T06:29:51.391414,2026-07-01,True,RH2m,%,61.9348,64.0299,64.7769,66.2286,68.8446,64.7128,63.5805,66.5953,65.0879
Chennai,2026-07-01T06:29:51.391414,2026-07-01,True,TMP2m,C,31.5769,31.0465,30.7945,30.2286,30.7084,31.1614,31.1393,30.6995,30.9194
